ra,dec,mag
0.0,0.0,-26.7
0.000335,38.859279,6.61
0.002488,46.939997,7.34
0.003228,-0.36045,7.25
0.003554,38.30405,6.53
0.0053,-44.290561,6.28
0.006638,26.918108,6.43
0.007485,-16.697009,7.46
0.008593,59.559679,6.18
0.009015,-40.690474,7.31
0.009533,-53.097713,6.49
0.010549,-66.683173,7.4
0.011577,62.175898,7.05
0.012119,45.253334,6.36
0.014694,66.848011,6.9
0.014882,-50.446459,7.42
0.017941,-48.809876,5.71
0.021069,60.355282,7.04
0.021365,-41.487437,7.05
0.022013,49.981558,6.22
0.022255,-50.337373,5.53
0.023106,6.79147,7.23
0.024839,-62.92313,7.46
0.026012,44.675401,6.82
0.026429,28.423691,6.83
0.026616,-77.065724,4.78
0.026675,72.236615,7.21
0.026949,61.222801,5.58
0.027597,73.611846,6.5
0.02823,-40.148702,6.62
0.028579,24.253113,6.6
0.028847,42.367144,6.25
0.030251,66.306032,7.33
0.030402,-3.027504,5.13
0.032021,-37.229953,7.04
0.032672,-6.014072,4.37
0.033384,-37.901878,7.09
0.03406,-2.766171,6.93
0.036139,27.082256,5.8
0.037966,-13.407437,6.9
0.038253,60.703168,6.77
0.038867,-29.720414,5.04
0.040046,8.956824,6.33
0.041584,8.485463,5.7
0.042334,16.256565,7.24
0.043357,66.098966,5.87
0.044012,66.100399,7.2
0.044959,82.973202,7.29
0.046437,2.130155,7.17
0.049301,-20.045882,6.25
0.052181,-24.145145,6.46
0.052317,42.747908,6.73
0.053698,17.552268,6.59
0.056667,73.174497,7.36
0.057143,63.64052,6.24
0.057203,20.66553,7.49
0.057297,-36.251193,6.96
0.058475,12.356821,7.45
0.061626,48.436907,6.8
0.06233,-17.335988,4.55
0.06234,42.023522,7.45
0.064342,66.712183,6.31
0.065582,14.378864,7.09
0.066736,12.145797,7.26
0.069514,49.870181,7.38
0.069972,-30.134913,7.09
0.070462,62.287664,5.9
0.072165,-16.529036,5.78
0.07231,-29.268822,6.38
0.075033,-10.509523,4.99
0.075148,-72.897321,7.33
0.07683,42.09253,6.11
0.077295,-51.583329,7.13
0.07772,-70.40426,7.46
0.0778,34.265124,7.02
0.078131,-71.436891,5.59
0.078129,14.965233,7.37
0.078304,67.166445,5.68
0.081573,34.659797,6.09
0.081937,58.532166,6.61
0.08222,26.648764,6.25
0.082644,45.673793,7.47
0.083662,27.674784,6.47
0.084395,-0.503035,6.32
0.085039,61.31397,5.8
0.085785,67.840003,7.41
0.086046,45.229029,6.71
0.086186,-32.468672,7.1
0.086946,35.571012,6.88
0.088857,68.884433,7.08
0.088876,-38.857152,6.93
0.088928,-5.707618,4.61
0.089347,-56.955649,7.42
0.089511,3.606092,6.91
0.090672,-14.422192,7.39
0.091117,-42.887387,7.47
0.091178,-7.66542,6.97
0.09199,-9.61747,7.13
0.093034,53.171694,7.23
0.093265,-61.309873,7.36
0.093404,-51.260491,7.36
0.094368,55.709898,6.99
0.094989,13.396266,5.55
0.098543,18.235003,7.45
0.099091,24.569005,6.9
0.100149,28.276949,6.62
0.100942,63.679656,7.36
0.101182,40.41853,6.65
0.104356,58.436733,5.98
0.105277,-49.075191,5.7
0.105609,40.898745,6.93
0.106936,-18.038252,7.31
0.10737,64.196168,5.57
0.109872,28.553404,6.68
0.110209,29.021502,6.07
0.113911,-23.10754,6.19
0.114803,-38.877668,6.91
0.117816,6.875548,7.44
0.121741,-17.38699,6.2
0.122792,-56.836907,7.48
0.122925,-25.356649,7.06
0.122932,26.450601,7.33
0.124472,-56.011483,7.48
0.126439,31.669001,6.87
0.126828,-62.315095,7.5
0.126886,-86.038759,7.39
0.127138,40.078498,7.39
0.127202,40.147954,6.73
0.128037,-65.932427,6.83
0.12864,37.185443,7.44
0.12892,-2.548679,6.43
0.129693,-22.50856,5.93
0.133431,-78.598759,7.18
0.13381,31.391161,7.12
0.134303,-33.529326,5.67
0.135998,31.378998,7.27
0.136693,-2.447711,6.18
0.137879,-14.824492,7.04
0.138204,-8.824112,5.99
0.139791,29.090432,2.07
0.141237,34.934547,7.41
0.142462,63.20404,6.41
0.142638,-17.578155,6.11
0.144105,-74.238455,7.38
0.14471,36.627125,6.21
0.145309,-2.222583,7.05
0.145546,74.214765,7.44
0.146874,8.021868,7.43
0.147223,40.494549,6.82
0.147814,25.462985,6.24
0.147845,0.692453,7.31
0.148235,-22.179517,7.13
0.149788,-21.206353,7.21
0.150045,28.247543,6.47
0.150672,18.211963,5.57
0.15066,-54.001931,6.32
0.151014,40.842859,6.93
0.151197,19.924689,7.11
0.152382,-50.166802,7.05
0.152887,59.14978,2.28
0.154625,65.070892,7.02
0.155401,17.533922,7.07
0.155525,79.714545,6.01
0.155851,-27.987928,5.42
0.156836,-45.747426,3.88
0.157661,46.387872,7.17
0.157788,1.244035,7.27
0.161482,-63.589789,7.4
0.164474,-62.296794,6.34
0.165283,-2.561266,6.84
0.165767,-44.66644,7.19
0.167278,11.145813,5.54
0.167293,-82.224047,5.29
0.167591,-8.974153,7.1
0.168888,-78.300717,6.97
0.171239,52.255137,7.2
0.171908,-5.248588,5.84
0.172012,46.072272,5.01
0.1741,28.652881,7.11
0.174909,57.165494,6.74
0.175667,33.130884,6.83
0.176293,59.673407,6.7
0.177328,-73.224389,6.66
0.178565,-12.579897,5.84
0.179692,-34.860715,6.89
0.184902,4.133093,7.44
0.18552,57.587941,6.68
0.186013,-3.321389,6.74
0.187739,-15.467977,4.89
0.189464,74.484543,7.15
0.19198,40.398952,7.47
0.192894,-27.799737,5.41
0.193145,-18.600657,6.93
0.193534,-80.173734,7.21
0.193652,58.211829,7.09
0.194149,55.961461,7.47
0.195552,-35.133119,5.24
0.195762,57.27152,7.06
0.196536,9.139962,7.45
0.197344,66.126345,7.32
0.198715,-75.476828,7.49
0.19891,-42.172144,6.53
0.199741,48.152396,6.18
0.200381,23.471749,6.58
0.200403,28.6065,7.19
0.200839,-13.813179,6.56
0.201897,47.491101,7.36
0.202242,53.623888,6.87
0.202773,-17.938278,5.29
0.203865,39.901578,7.43
0.209341,44.590743,7.44
0.209356,-88.362869,7.22
0.209484,44.707195,6.5
0.209947,44.316313,7.01
0.211204,-1.227195,7.22
0.212565,57.22754,7.34
0.213338,46.095405,6.63
0.213957,37.693656,6.71
0.213975,-57.912609,7.22
0.215316,-3.381546,7.37
0.217167,49.926524,7.17
0.217755,-22.470173,6.66
0.219307,16.921456,6.52
0.22019,62.040878,6.63
0.220502,-37.822873,7.21
0.220598,15.183596,2.83
0.220963,-26.325331,7.44
0.221754,-20.618703,7.45
0.222099,-84.993978,5.78
0.222368,49.723376,7.32
0.223312,26.987545,6.24
0.22524,41.03537,5.71
0.227404,42.94939,7.26
0.228401,-26.022345,5.94
0.228994,-26.284959,6.14
0.229193,-48.684187,6.97
0.229303,-23.214784,6.86
0.229362,8.193504,7.41
0.229882,1.383586,6.79
0.231397,-56.999679,7.15
0.232112,-17.545369,7.39
0.232275,59.999319,6.91
0.233675,-3.908824,7.41
0.233967,33.206039,6.22
0.234046,76.026999,7.17
0.234469,-74.912002,6.97
0.23584,26.258798,7.0
0.236182,-7.199124,7.32
0.237419,-55.069662,6.66
0.238946,-27.53143,7.42
0.239114,-62.771951,6.63
0.239112,-21.196962,6.89
0.240129,-2.197997,7.19
0.241008,-7.780532,5.13
0.241118,-14.431785,6.95
0.242702,41.032642,6.68
0.243378,20.206702,4.79
0.24349,1.296839,7.03
0.244005,-18.932866,4.44
0.244572,-14.80524,6.63
0.245635,-46.033415,7.13
0.246725,-14.177699,6.82
0.248476,-9.569571,5.77
0.248823,-3.027412,6.64
0.24886,22.284225,6.25
0.24898,21.542112,7.06
0.249515,-34.904223,6.17
0.249677,8.820962,6.02
0.251883,33.030459,7.34
0.25193,31.535725,6.34
0.252934,27.28344,6.35
0.254189,-40.095977,7.5
0.254953,44.203397,6.76
0.255985,28.587169,7.33
0.259364,50.050304,7.45
0.26073,5.843847,6.98
0.264339,-5.601215,7.48
0.265239,61.000172,6.43
0.265257,-75.911615,6.49
0.265917,4.251116,7.13
0.269126,-31.446394,5.66
0.26986,-79.851182,6.59
0.270527,76.950755,6.35
0.272645,43.595049,6.12
0.27344,-70.392369,7.18
0.273808,53.945641,7.22
0.275683,-32.760428,7.34
0.276106,-13.403904,7.15
0.276122,8.240154,6.12
0.277617,1.850607,6.98
0.278235,54.660146,7.43
0.278352,-32.688435,6.67
0.278429,-20.210061,6.5
0.278619,36.629812,6.99
0.27935,13.916805,7.46
0.279355,10.244778,6.51
0.280064,-78.780154,6.78
0.281041,46.614272,7.18
0.281604,-52.651149,6.84
0.281656,49.461915,6.52
0.281944,23.256193,6.95
0.282513,61.533185,5.74
0.284863,38.681636,4.61
0.285845,47.947405,5.86
0.290152,8.876517,6.66
0.292417,-19.051092,6.46
0.295295,51.43309,6.11
0.296583,1.688727,6.19
0.29677,-1.862735,7.1
0.297216,16.331013,7.21
0.297567,20.226994,6.91
0.298007,44.577946,7.38
0.298974,12.771466,6.54
0.299685,-13.45564,6.51
0.302191,3.796763,7.2
0.302558,46.214313,6.83
0.304708,-21.13846,6.69
0.304791,11.206214,6.07
0.305118,-36.509884,6.67
